Name,Date Created,Status
Pacing Dilemma,"September 7, 2023 6:05 PM",Done
Stability vs. Journey,"October 23, 2023 9:13 PM",In progress
Name the bear,"September 7, 2023 8:28 PM",To Do
How to depict relying on Jesus?,"December 24, 2023 10:51 AM",To Do
What is the second job?,"December 24, 2023 10:52 AM",To Do
How do James and Miles first cross paths?,"December 24, 2023 10:52 AM",To Do
What to do about Nivana?,"September 7, 2023 8:23 PM",Done
Design equipment for James and his job,"January 31, 2024 9:15 PM",Done
"Should there be a haunted house, and if so, what implementation?","February 3, 2024 8:30 PM",Done
Asylum job,"September 7, 2023 8:32 PM",Done
Tragic sorceress trope,"September 7, 2023 11:44 PM",Done
Defining and redefining the Asylum,"September 18, 2023 6:26 PM",Done
James’ initial employer,"September 7, 2023 8:27 PM",Done
Where does Fugue fit in?,"September 7, 2023 8:36 PM",Done
James’ leveraging Asylum experience,"September 7, 2023 8:33 PM",Done
Desperate industry,"November 24, 2023 7:48 PM",Done