Name,Bible passages,Children,Conflicts,Custom target scene count,Date,Inspiration count,Inspirations,Missing scene count,Parents,Priority,Products,Progress,Solutions,Tags,Weight,Wonderland count,_Form final scenes,_Form scenes,_Rup child scenes,_Rup child scenes 2
Family,,Family having fun together (../Features/Family%20having%20fun%20together%20043d2efa0315443da237fe73ec5e0a8a.md),,,,4,"Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Jane Austen (../Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Mieruko-chan (../Inspirations/Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.md)",,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,4,0,,,,
Frenemies,,,,,,0,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Ideological contests,,,,,,10,"North and South (../Inspirations/Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Watchmen (../Inspirations/Inspirations/Watchmen%200985cb49b57f4b60bc959cfc391e7176.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), Les Misérables (1998) (../Inspirations/Inspirations/Les%20Mis%C3%A9rables%20(1998)%2030eba33ec4bb436180ac254bb05ecb1b.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), RWBY (../Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.md), Blasphemous (../Inspirations/Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.md)",,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,4,0,,,,
Irony,,,,,,16,"Angel (../Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.md), Buffy the Vampire Slayer (../Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.md), X-Factor Investigations (../Inspirations/Inspirations/X-Factor%20Investigations%204496354c9e3f44f1939e87dd7ef8abf9.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), Justice League America (International) (../Inspirations/Inspirations/Justice%20League%20America%20(International)%207371ab44a1864032bae75dc0cd3da4ee.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), Jane Austen (../Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.md), The Bible (../Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.md), Watchmen (../Inspirations/Inspirations/Watchmen%200985cb49b57f4b60bc959cfc391e7176.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,"Initially present the Bear as a shadowy figure (../Solutions/Initially%20present%20the%20Bear%20as%20a%20shadowy%20figure%202aa58e628ba280b98884fd832e656357.md), Defer revealing Adelle’s name (../Solutions/Defer%20revealing%20Adelle%E2%80%99s%20name%2028258e628ba280aca5c4f3a1e156b954.md), A priest friend who forsakes Nivana (../Solutions/A%20priest%20friend%20who%20forsakes%20Nivana%202aa58e628ba2807fb550fe23d1424694.md)",,2,0,,,,
Isolation,,,,,,20,"H. P. Lovecraft (../Inspirations/Inspirations/H%20P%20Lovecraft%208b960aeb87da4d2c816e0219335869e4.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), In the Mouth of Madness (../Inspirations/Inspirations/In%20the%20Mouth%20of%20Madness%203a3a45e2b9d4455e94e3101a5eafa8ae.md), Paprika Opening (../Inspirations/Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Alice: Madness Returns (../Inspirations/Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.md), Dark City (../Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Mieruko-chan (../Inspirations/Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Unforgiving - A Northern Hymn (../Inspirations/Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Alice in Wonderland (../Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.md), Through the Looking Glass (../Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), The Matrix (../Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,Wonderland,2,1,,,,
Family provision,,James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md),,,,4,"Spider-Man (Renew Your Vows) (../Inspirations/Inspirations/Spider-Man%20(Renew%20Your%20Vows)%20939509d82a034b0b979e4eb1dbb1d794.md), The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), Jonathan Strange & Mr. Norrell (../Inspirations/Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.md), The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Nivana supporting her sister (../Solutions/Nivana%20supporting%20her%20sister%202aa58e628ba2801bbbdaef7a7af37013.md),,2,0,,,,
Mystery,,,,,,12,"H. P. Lovecraft (../Inspirations/Inspirations/H%20P%20Lovecraft%208b960aeb87da4d2c816e0219335869e4.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Sapphire and Steel (../Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), Gantz (../Inspirations/Inspirations/Gantz%20a24f02cf50174af3a4c065855e47ba14.md), Unforgiving - A Northern Hymn (../Inspirations/Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,"Initially shroud the Asylum job in mystery (../Solutions/Initially%20shroud%20the%20Asylum%20job%20in%20mystery%201d958e628ba2805a96a9f094a30740bb.md), Questioning what is actually outside the Asylum (../Solutions/Questioning%20what%20is%20actually%20outside%20the%20Asylum%2024858e628ba280fd9cc8cb7f9fd46725.md), Initially present the Bear as a shadowy figure (../Solutions/Initially%20present%20the%20Bear%20as%20a%20shadowy%20figure%202aa58e628ba280b98884fd832e656357.md)",,2,0,,,,
Spectacular climax,,,,,,4,"Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Feminine duties,,Hospitality (../Features/Hospitality%20cad51fd00b284dc094de3a19c1aed59c.md),,,,4,"North and South (../Inspirations/Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.md), Jonathan Strange & Mr. Norrell (../Inspirations/Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.md), Duchess in Ruins (../Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,"Adelle as a Barista (../Solutions/Adelle%20as%20a%20Barista%201d858e628ba280d9bac1cc43140ce0b9.md), Wife home healthcare (../Solutions/Wife%20home%20healthcare%2020f58e628ba2801f881dd9cb0885a89b.md), Adelle jobs (../Solutions/Adelle%20jobs%2027e58e628ba280cfa819e0af62452435.md), Making everywhere home (../Solutions/Making%20everywhere%20home%20b97c110b9e18473da0d59eaa31a7aa96.md), Adelle as a Seamstress (../Solutions/Adelle%20as%20a%20Seamstress%2028058e628ba28085be5bc2bd12c68bbb.md)",,2,0,,,,
A wholesome marriage is beautiful,,,,,,4,"Jane Austen (../Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.md), Spider-Man (Renew Your Vows) (../Inspirations/Inspirations/Spider-Man%20(Renew%20Your%20Vows)%20939509d82a034b0b979e4eb1dbb1d794.md), Jonathan Strange & Mr. Norrell (../Inspirations/Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.md), The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md)",,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Suffering softened by marriage (../Solutions/Suffering%20softened%20by%20marriage%2040648921533242b3b7695a3f120931ee.md),,4,0,,,,
Shared crisis,,,,,,2,"Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Magic and gender conflict,,,,,,1,The Wheel of Time (../Inspirations/Inspirations/The%20Wheel%20of%20Time%205f8c9f03a30b4aa4bbc33d70558079a1.md),,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Rag tag band of friends,,,,,,14,"Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Justice League America (International) (../Inspirations/Inspirations/Justice%20League%20America%20(International)%207371ab44a1864032bae75dc0cd3da4ee.md), X-Factor Investigations (../Inspirations/Inspirations/X-Factor%20Investigations%204496354c9e3f44f1939e87dd7ef8abf9.md), Angel (../Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.md), Buffy the Vampire Slayer (../Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.md), RWBY (../Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.md), Stranger Things (../Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Guardians of the Galaxy (2008) (../Inspirations/Inspirations/Guardians%20of%20the%20Galaxy%20(2008)%206266105a80734554b40460f4ba6400d8.md), Labyrinth (../Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.md), Big Trouble in Little China (../Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md), Naruto (../Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md)",,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,2,0,,,,
Survival horror,,Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md),,,,12,"The Walking Dead (../Inspirations/Inspirations/The%20Walking%20Dead%201d28d505f48f437d8501aa594f07c6cb.md), Tenkuu Shinpan (../Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Gantz (../Inspirations/Inspirations/Gantz%20a24f02cf50174af3a4c065855e47ba14.md), The Evil Dead 2 (../Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), Ash vs. the Evil Dead (../Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.md), Surviving Romance (../Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), RWBY (../Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.md), Aliens (../Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md)",,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,4,0,,,,
Satire,,,,,,7,"The Strongest Florist (../Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.md), Cursed Princess Club (../Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.md), The Office (../Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.md), Justice League America (International) (../Inspirations/Inspirations/Justice%20League%20America%20(International)%207371ab44a1864032bae75dc0cd3da4ee.md), Dilbert (../Inspirations/Inspirations/Dilbert%2015158e628ba280598922f8c0b88837c1.md), Jeeves and Wooster (../Inspirations/Inspirations/Jeeves%20and%20Wooster%2018658e628ba280b781bfcabd1d05cd5d.md), River City Girls (../Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Submission to authority,"Jeremiah honoring captors (../Data/Bible%20passages/Jeremiah%20honoring%20captors%2028f58e628ba2807ab903cb6654e5a94a.md), Submit to authorities (../Data/Bible%20passages/Submit%20to%20authorities%2028f58e628ba2807ebb22f81f5e9f2670.md)",Wife submitted to husband (../Features/Wife%20submitted%20to%20husband%202a2578582cab480b945c275e41ee9995.md),,,,1,Duchess in Ruins (../Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.md),,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,4,0,,,,
Wife submitted to husband,,,,,,2,"Jonathan Strange & Mr. Norrell (../Inspirations/Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.md), Duchess in Ruins (../Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.md)",,Submission to authority (../Features/Submission%20to%20authority%20c04c6c883dce4d98ac0fbe40efb805b6.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Absurd work situations,,,,,,2,"Guardians of the Galaxy (2008) (../Inspirations/Inspirations/Guardians%20of%20the%20Galaxy%20(2008)%206266105a80734554b40460f4ba6400d8.md), Dilbert (../Inspirations/Inspirations/Dilbert%2015158e628ba280598922f8c0b88837c1.md)",,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,,,1,0,,,,
Cursed by manifestations of their sin,,,,,,14,"Blasphemous (../Inspirations/Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.md), The Witcher (../Inspirations/Inspirations/The%20Witcher%20d52418cdc33d47ba8c64bc60adabd302.md), Dark Souls (../Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.md), Berserk (../Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.md), Alice: Madness Returns (../Inspirations/Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.md), Mieruko-chan (../Inspirations/Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.md), Alan Wake (../Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.md), The Wheel of Time (../Inspirations/Inspirations/The%20Wheel%20of%20Time%205f8c9f03a30b4aa4bbc33d70558079a1.md), American McGee’s Alice (../Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.md), Mordheim (../Inspirations/Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.md), Unforgiving - A Northern Hymn (../Inspirations/Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.md), Unholy Blood (../Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.md), Silent Hill (../Inspirations/Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.md), Yuuyami Doori Tankentai (../Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.md)",,Folklore (../Features/Folklore%20b9b9e0b8df614e64bae9bf2ec5b048a2.md),Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,Corruption of the Matron (../Solutions/Corruption%20of%20the%20Matron%2028258e628ba2802b8fcee19250ceaeea.md),,2,0,,,,
