Name,Monsters,Motivations,Pacing,Plot is driven by MC desire,Reference,Story scale,Traversal reasons,Traversal types,Type,Weighted Use,Wonder
Sapphire and Steel,Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md),"Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Guest consultant (../../Features/Guest%20consultant%206727adbe03684285aa4dc60e14a5d229.md), Custom symbolism (../../Features/Custom%20symbolism%2021a32bf8277a47d9ab0eb6d7cda2fcbf.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Travelers (../../Features/Travelers%20bbc494a7892947fd8bc516fab446f6da.md), Sojourner (../../Features/Sojourner%201e2cf9c7997f48f7bf052c4ee98aec4b.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),"Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md)",TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),21,5
The Bible,Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md),"Biblical (../../Features/Biblical%20bdacc489959e4e39b8e3a86c7dede268.md), Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), God empowering sinners to do good (../../Features/God%20empowering%20sinners%20to%20do%20good%2018236bbd62364cc68f1a9941f4b51f18.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),22,0
H. P. Lovecraft,"Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md), The Old Ones (../Monsters%20and%20Villains/The%20Old%20Ones%20707b1ba5634747c7acbac562396348bf.md)","Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Cosmic horror (../../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md), Playing with fire (../../Features/Playing%20with%20fire%2011158e628ba280edaca1d0d5cfd07cc2.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Short story (Short%20story%2023fb1de9231040839d01375c9a0b5619.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),10,1
North and South,,"Ideological contests (../../Features/Ideological%20contests%203095477179ab4fd1a6977f151ff2aef8.md), Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), Feminine duties (../../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md), Constrained intellectual energy (../../Features/Constrained%20intellectual%20energy%20bd4dd7ba301a4786bbd8d03d6b948467.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),21,0
Jane Austen,,"A wholesome marriage is beautiful (../../Features/A%20wholesome%20marriage%20is%20beautiful%20729f8c8cb3774419a3611b8961a5da02.md), Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), Family (../../Features/Family%204a141498769b409797d96a49f190e96f.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Community (../../Features/Community%20c80ee480543c42eda65e330b6d1c6d9b.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),24,0
Alice in Wonderland,,"Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Dark forest (../../Features/Dark%20forest%20181a3aae0f4b4056b6c28bb49e27978e.md), Dreamlike (../../Features/Dreamlike%20ce5b83035c894e0da2137f0584297c4d.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Untitled (https://www.notion.so/97e5065134044039ba10803540076f02?pvs=21), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Stumbling upon stationary characters (../../Features/Stumbling%20upon%20stationary%20characters%201d458e628ba28045a765d8c37bf00e42.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Youthful free spirit (../Traversal%20reasons/Youthful%20free%20spirit%2095e2ad9b9e37430c963747260b0aab71.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),25,9
Naruto,Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"Family (../../Features/Family%204a141498769b409797d96a49f190e96f.md), Spectacular climax (../../Features/Spectacular%20climax%208ad5c0d9bf0b48a6bec8ff3af7a74d08.md), Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), Ideological contests (../../Features/Ideological%20contests%203095477179ab4fd1a6977f151ff2aef8.md), Community (../../Features/Community%20c80ee480543c42eda65e330b6d1c6d9b.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Resourcefulness (../../Features/Resourcefulness%201f558e628ba280a09c76c235bb0e0edb.md), Good stewardship (../../Features/Good%20stewardship%2023758e628ba28056a250f0c320c9c247.md), Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),"Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md)",Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),28,1
Gantz,Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md),"Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Desperation (../../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),15,0
Berserk,"Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)","Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Cosmic horror (../../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md), Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),26,4
Watchmen,"Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md), Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md)","Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Ideological contests (../../Features/Ideological%20contests%203095477179ab4fd1a6977f151ff2aef8.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),7,0
Tenkuu Shinpan,Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md),"Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Desperation (../../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),True,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),"Ad-hoc (../Traversal%20reasons/Ad-hoc%207aba7cb9db9b4d489a197336498c62dd.md), Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md)","Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md), Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md)",Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),24,6
Doom Patrol (2016),Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"Manic energy (../../Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Ad-hoc (../Traversal%20reasons/Ad-hoc%207aba7cb9db9b4d489a197336498c62dd.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),9,3
Spider-Man (Renew Your Vows),Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"A wholesome marriage is beautiful (../../Features/A%20wholesome%20marriage%20is%20beautiful%20729f8c8cb3774419a3611b8961a5da02.md), Family provision (../../Features/Family%20provision%20a4f827664b094b91ae244ffa2385ce4d.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),8,1
Justice League America (International),Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Satire (../../Features/Satire%20f8970ab4c68f412796859ce4c9d8a9fc.md), The Agency (../../Features/The%20Agency%2044db7ec455e14b10a9bc1da088f20f66.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),9,1
X-Factor Investigations,Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Manic energy (../../Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),6,0
Alice: Madness Returns,Ink / shadow monsters (../Monsters%20and%20Villains/Ink%20shadow%20monsters%206be80fcebcc24064987d9483aae6fa34.md),"Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Dreamlike (../../Features/Dreamlike%20ce5b83035c894e0da2137f0584297c4d.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),11,2
Dark Souls,"Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)","Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Untitled (https://www.notion.so/97e5065134044039ba10803540076f02?pvs=21), Stumbling upon stationary characters (../../Features/Stumbling%20upon%20stationary%20characters%201d458e628ba28045a765d8c37bf00e42.md), No explanation (../../Features/No%20explanation%201ea58e628ba2800fb2d6d9e69acf85e2.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Dreamlike (../../Features/Dreamlike%20ce5b83035c894e0da2137f0584297c4d.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),23,6
Neverwinter Nights,"Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md)","Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Dangerous city (../../Features/Dangerous%20city%20f2ec9bb510dc440b96920e4651a259be.md), A city facing divine wrath (../../Features/A%20city%20facing%20divine%20wrath%20b11bb95047984243aaffb7024af8b77b.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),12,1
