Name,Monsters,Motivations,Pacing,Plot is driven by MC desire,Reference,Story scale,Traversal reasons,Traversal types,Type,Weighted Use,Wonder
Mordheim,"Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md), Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md), Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md)","Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Dangerous city (../../Features/Dangerous%20city%20f2ec9bb510dc440b96920e4651a259be.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), A city facing divine wrath (../../Features/A%20city%20facing%20divine%20wrath%20b11bb95047984243aaffb7024af8b77b.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),12,3
Dark City,The Old Ones (../Monsters%20and%20Villains/The%20Old%20Ones%20707b1ba5634747c7acbac562396348bf.md),"Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Dangerous city (../../Features/Dangerous%20city%20f2ec9bb510dc440b96920e4651a259be.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), No explanation (../../Features/No%20explanation%201ea58e628ba2800fb2d6d9e69acf85e2.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),True,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Unraveling mystery (../Traversal%20reasons/Unraveling%20mystery%20b272303db39d4255a6d3cbf1a70b8925.md),"Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md)",Movie (../Inspiration%20types/Movie%205ebb4ef98a8f492d9a4a401d725df4ba.md),15,6
Batman (1989),Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"Constrained intellectual energy (../../Features/Constrained%20intellectual%20energy%20bd4dd7ba301a4786bbd8d03d6b948467.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Movie (../Inspiration%20types/Movie%205ebb4ef98a8f492d9a4a401d725df4ba.md),8,1
Stranger Things,Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md),"Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Spectacular climax (../../Features/Spectacular%20climax%208ad5c0d9bf0b48a6bec8ff3af7a74d08.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Hidden monsters living amongst us (../../Features/Hidden%20monsters%20living%20amongst%20us%20c2e7213525474f8bb2f8718d0f6cb2f1.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Shared crisis (../../Features/Shared%20crisis%200a08f7a8a8e1483192359e422523de8e.md), Playing with fire (../../Features/Playing%20with%20fire%2011158e628ba280edaca1d0d5cfd07cc2.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),22,2
RWBY,"Ink / shadow monsters (../Monsters%20and%20Villains/Ink%20shadow%20monsters%206be80fcebcc24064987d9483aae6fa34.md), Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md)","Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md), Ideological contests (../../Features/Ideological%20contests%203095477179ab4fd1a6977f151ff2aef8.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),"Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md)",TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),18,2
Buffy the Vampire Slayer,"Demon zombies (../Monsters%20and%20Villains/Demon%20zombies%20874b2902d6174d44ba82c2aaf6f70a2a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md), Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md), Vampires (../Monsters%20and%20Villains/Vampires%2028458e628ba28010b6f3c878bd0c006a.md)","Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Hidden monsters living amongst us (../../Features/Hidden%20monsters%20living%20amongst%20us%20c2e7213525474f8bb2f8718d0f6cb2f1.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Non-magical expertise (../../Features/Non-magical%20expertise%20b9ca834044b74b88949d06387a8a9af9.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),18,2
Angel,"Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md), Vampires (../Monsters%20and%20Villains/Vampires%2028458e628ba28010b6f3c878bd0c006a.md)","Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Hidden monsters living amongst us (../../Features/Hidden%20monsters%20living%20amongst%20us%20c2e7213525474f8bb2f8718d0f6cb2f1.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),21,2
Jonathan Strange & Mr. Norrell,"Fae (../Monsters%20and%20Villains/Fae%205500607938cb414c990fa91574d300cf.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md), Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md)","Family provision (../../Features/Family%20provision%20a4f827664b094b91ae244ffa2385ce4d.md), A wholesome marriage is beautiful (../../Features/A%20wholesome%20marriage%20is%20beautiful%20729f8c8cb3774419a3611b8961a5da02.md), Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Feminine duties (../../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Constrained intellectual energy (../../Features/Constrained%20intellectual%20energy%20bd4dd7ba301a4786bbd8d03d6b948467.md), Wife submitted to husband (../../Features/Wife%20submitted%20to%20husband%202a2578582cab480b945c275e41ee9995.md), Cosmic horror (../../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),True,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),18,0
Supernatural,"Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Demon zombies (../Monsters%20and%20Villains/Demon%20zombies%20874b2902d6174d44ba82c2aaf6f70a2a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md), Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md), Vampires (../Monsters%20and%20Villains/Vampires%2028458e628ba28010b6f3c878bd0c006a.md)","The Agency (../../Features/The%20Agency%2044db7ec455e14b10a9bc1da088f20f66.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Hidden monsters living amongst us (../../Features/Hidden%20monsters%20living%20amongst%20us%20c2e7213525474f8bb2f8718d0f6cb2f1.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Finding work (../Traversal%20reasons/Finding%20work%20632e6e24e59d4945a49be5afffbc308a.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),9,3
Foyle's War,,"Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), Good stewardship (../../Features/Good%20stewardship%2023758e628ba28056a250f0c320c9c247.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),8,0
The Witcher,"Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md), Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md)","Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), The Agency (../../Features/The%20Agency%2044db7ec455e14b10a9bc1da088f20f66.md), Hidden monsters living amongst us (../../Features/Hidden%20monsters%20living%20amongst%20us%20c2e7213525474f8bb2f8718d0f6cb2f1.md), Dark forest (../../Features/Dark%20forest%20181a3aae0f4b4056b6c28bb49e27978e.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Sojourner (../../Features/Sojourner%201e2cf9c7997f48f7bf052c4ee98aec4b.md), Fantasy misconceptions (../../Features/Fantasy%20misconceptions%202dc58e628ba280f3a572db81b08bfe74.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Finding work (../Traversal%20reasons/Finding%20work%20632e6e24e59d4945a49be5afffbc308a.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),13,2
The Office,,"Family provision (../../Features/Family%20provision%20a4f827664b094b91ae244ffa2385ce4d.md), Condescension (../../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), A wholesome marriage is beautiful (../../Features/A%20wholesome%20marriage%20is%20beautiful%20729f8c8cb3774419a3611b8961a5da02.md), Community (../../Features/Community%20c80ee480543c42eda65e330b6d1c6d9b.md), Satire (../../Features/Satire%20f8970ab4c68f412796859ce4c9d8a9fc.md), The Agency (../../Features/The%20Agency%2044db7ec455e14b10a9bc1da088f20f66.md), My own worst enemy (../../Features/My%20own%20worst%20enemy%20fc53ea3c46a745bd993e7b75c237b2e2.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Resourcefulness (../../Features/Resourcefulness%201f558e628ba280a09c76c235bb0e0edb.md), Turned tables (../../Features/Turned%20tables%201f858e628ba28028abd6e27e7262733e.md), Wages of irresponsibility (../../Features/Wages%20of%20irresponsibility%2027b58e628ba2805ca605c8e5771f44f5.md), Good stewardship (../../Features/Good%20stewardship%2023758e628ba28056a250f0c320c9c247.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),32,1
The Walking Dead,"Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md)","Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Desperation (../../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),10,1
The Strongest Florist,"Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md), Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md)","Family provision (../../Features/Family%20provision%20a4f827664b094b91ae244ffa2385ce4d.md), Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Satire (../../Features/Satire%20f8970ab4c68f412796859ce4c9d8a9fc.md), The Agency (../../Features/The%20Agency%2044db7ec455e14b10a9bc1da088f20f66.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Resourcefulness (../../Features/Resourcefulness%201f558e628ba280a09c76c235bb0e0edb.md), Turned tables (../../Features/Turned%20tables%201f858e628ba28028abd6e27e7262733e.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Good stewardship (../../Features/Good%20stewardship%2023758e628ba28056a250f0c320c9c247.md), Dark forest (../../Features/Dark%20forest%20181a3aae0f4b4056b6c28bb49e27978e.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),"Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md), Maintenance (../Traversal%20reasons/Maintenance%20429f5cd24ebf4110aeae2981e8ca50f6.md)","Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md)",Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),25,2
Cursed Princess Club,"Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)","Dependency (../../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.md), Manic energy (../../Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Ideological contests (../../Features/Ideological%20contests%203095477179ab4fd1a6977f151ff2aef8.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Spectacular climax (../../Features/Spectacular%20climax%208ad5c0d9bf0b48a6bec8ff3af7a74d08.md), Community (../../Features/Community%20c80ee480543c42eda65e330b6d1c6d9b.md), Satire (../../Features/Satire%20f8970ab4c68f412796859ce4c9d8a9fc.md), Injected stability (../../Features/Injected%20stability%2054190f7026bf4beb96bc5ef39de248ee.md), Heart warming horror (../../Features/Heart%20warming%20horror%20d0f33c261a9144ffb9d38793fd30eab4.md), Hospitality (../../Features/Hospitality%20cad51fd00b284dc094de3a19c1aed59c.md), Turned tables (../../Features/Turned%20tables%201f858e628ba28028abd6e27e7262733e.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Depictions of virtue (../../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.md), Feminine duties (../../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md), Fantasy misconceptions (../../Features/Fantasy%20misconceptions%202dc58e628ba280f3a572db81b08bfe74.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,https://www.webtoons.com/en/comedy/cursed-princess-club/list?title_no=1537,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),40,0
