Name,Monsters,Motivations,Pacing,Plot is driven by MC desire,Reference,Story scale,Traversal reasons,Traversal types,Type,Weighted Use,Wonder
Paprika Opening,,"Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Dreamlike (../../Features/Dreamlike%20ce5b83035c894e0da2137f0584297c4d.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Untitled (https://www.notion.so/97e5065134044039ba10803540076f02?pvs=21), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Cozy (../../Features/Cozy%2027e58e628ba280a889b9d93e442abcb8.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),,,Short story (Short%20story%2023fb1de9231040839d01375c9a0b5619.md),Youthful free spirit (../Traversal%20reasons/Youthful%20free%20spirit%2095e2ad9b9e37430c963747260b0aab71.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Montage (../Inspiration%20types/Montage%2026a3df6eb1c24a38afc0321446a37423.md),12,6
In the Mouth of Madness,"Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md), The Old Ones (../Monsters%20and%20Villains/The%20Old%20Ones%20707b1ba5634747c7acbac562396348bf.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md), Demon zombies (../Monsters%20and%20Villains/Demon%20zombies%20874b2902d6174d44ba82c2aaf6f70a2a.md), Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md)","Cosmic horror (../../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Dreamlike (../../Features/Dreamlike%20ce5b83035c894e0da2137f0584297c4d.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),True,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Unraveling mystery (../Traversal%20reasons/Unraveling%20mystery%20b272303db39d4255a6d3cbf1a70b8925.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Movie (../Inspiration%20types/Movie%205ebb4ef98a8f492d9a4a401d725df4ba.md),6,1
The Evil Dead 2,"Demon zombies (../Monsters%20and%20Villains/Demon%20zombies%20874b2902d6174d44ba82c2aaf6f70a2a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)","Manic energy (../../Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.md), Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Dark forest (../../Features/Dark%20forest%20181a3aae0f4b4056b6c28bb49e27978e.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Movie (../Inspiration%20types/Movie%205ebb4ef98a8f492d9a4a401d725df4ba.md),26,7
The Darkest Dungeon,"Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md), Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md)","Cosmic horror (../../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),"Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md)",Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),3,1
Alan Wake,"Demon zombies (../Monsters%20and%20Villains/Demon%20zombies%20874b2902d6174d44ba82c2aaf6f70a2a.md), Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md)","Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Mystery (../../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Dark forest (../../Features/Dark%20forest%20181a3aae0f4b4056b6c28bb49e27978e.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Vulnerable to light (../../Features/Vulnerable%20to%20light%2027c58e628ba280f3aa0af9365c7362c5.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),True,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Unraveling mystery (../Traversal%20reasons/Unraveling%20mystery%20b272303db39d4255a6d3cbf1a70b8925.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),32,7
Ash vs. the Evil Dead,"Demon zombies (../Monsters%20and%20Villains/Demon%20zombies%20874b2902d6174d44ba82c2aaf6f70a2a.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)","Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Manic energy (../../Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.md), Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Survival horror (../../Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.md), Family (../../Features/Family%204a141498769b409797d96a49f190e96f.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Dark forest (../../Features/Dark%20forest%20181a3aae0f4b4056b6c28bb49e27978e.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Ad-hoc (../Traversal%20reasons/Ad-hoc%207aba7cb9db9b4d489a197336498c62dd.md),"Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md), Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md)",TV series (../Inspiration%20types/TV%20series%20c847c77114e94ca5ba74405c2a088c76.md),35,5
Blasphemous,Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md),"Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Ideological contests (../../Features/Ideological%20contests%203095477179ab4fd1a6977f151ff2aef8.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),11,1
Mieruko-chan,Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md),"Heart warming horror (../../Features/Heart%20warming%20horror%20d0f33c261a9144ffb9d38793fd30eab4.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Family (../../Features/Family%204a141498769b409797d96a49f190e96f.md), Supernatural forces few people can see (../../Features/Supernatural%20forces%20few%20people%20can%20see%201dbf653b6a894de39bbc08de004b862f.md), Hidden monsters living amongst us (../../Features/Hidden%20monsters%20living%20amongst%20us%20c2e7213525474f8bb2f8718d0f6cb2f1.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md), Peace in the eye of the storm (../../Features/Peace%20in%20the%20eye%20of%20the%20storm%204e21b1585595437d834a897e603fb87a.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),23,1
Discworld series,"Eldritch horrors (../Monsters%20and%20Villains/Eldritch%20horrors%209d977fe97699437880fbc4b55651f78c.md), Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md)","Dangerous city (../../Features/Dangerous%20city%20f2ec9bb510dc440b96920e4651a259be.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),9,3
Inspiration - Marloth: A Child’s Fairytale World,"Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md), Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)",,,True,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),"Ad-hoc (../Traversal%20reasons/Ad-hoc%207aba7cb9db9b4d489a197336498c62dd.md), Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md)","Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md), Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md)",Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),0,0
Big Trouble in Little China,Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md),"Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Manic energy (../../Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Free spirited / adaptable main characters (../../Features/Free%20spirited%20adaptable%20main%20characters%201d458e628ba2803d9f73cd30fd59b6ef.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Dangerous city (../../Features/Dangerous%20city%20f2ec9bb510dc440b96920e4651a259be.md), Irony (../../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), Folklore (../../Features/Folklore%20b9b9e0b8df614e64bae9bf2ec5b048a2.md), Community (../../Features/Community%20c80ee480543c42eda65e330b6d1c6d9b.md), Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md), Peace in the eye of the storm (../../Features/Peace%20in%20the%20eye%20of%20the%20storm%204e21b1585595437d834a897e603fb87a.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Ad-hoc (../Traversal%20reasons/Ad-hoc%207aba7cb9db9b4d489a197336498c62dd.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Movie (../Inspiration%20types/Movie%205ebb4ef98a8f492d9a4a401d725df4ba.md),37,7
Guardians of the Galaxy (2008),,"Absurd work situations (../../Features/Absurd%20work%20situations%2014041f07e0d24a8c91bebb3b6eef5eab.md), Rag tag band of friends (../../Features/Rag%20tag%20band%20of%20friends%209092ace4d11741659a7633ee2707f0a9.md), The Agency (../../Features/The%20Agency%2044db7ec455e14b10a9bc1da088f20f66.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Missions (../Traversal%20reasons/Missions%2008ea5af920c149058a9ce4a2b3d0a098.md),Roaming (../Traversal%20types/Roaming%201c6d9213c2aa449390613c20f6f4d71d.md),Comic (../Inspiration%20types/Comic%2096e0ed9e0b9848ab8fb8ac9faed5cc22.md),9,2
The Wheel of Time,"Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md), Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md), Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Curses (../Monsters%20and%20Villains/Curses%208d8f367d6fdd47a580868227f4274a51.md)","Vigilent guardian (../../Features/Vigilent%20guardian%20ae3bade8a3584115b07b8fc166d9962c.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Magic and gender conflict (../../Features/Magic%20and%20gender%20conflict%207b13ba4cf8344ed2ab4575da73a18f1f.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",Weeks (../Pacing%20types/Weeks%20948903aabaff4071b42a7005cbe643f6.md),True,,Extended story (Extended%20story%2086324f5585d84ca0a6a36deafd6b91fc.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Book (../Inspiration%20types/Book%20e76b1047e9d44c01a00ccdeea97cd346.md),6,1
American McGee’s Alice,Wicked rulers (../Monsters%20and%20Villains/Wicked%20rulers%201fe9ce4060e04133a4ce24cbe8054c4a.md),"Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Isolation (../../Features/Isolation%20330cda5056f64459b8d0d46a66ed21a2.md), Cursed by manifestations of their sin (../../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Journey - frequent new locations (../../Features/Journey%20-%20frequent%20new%20locations%201d458e628ba280c085bdf51e33d114a4.md), Untitled (https://www.notion.so/97e5065134044039ba10803540076f02?pvs=21), Locations with personality (../../Features/Locations%20with%20personality%201d458e628ba2805fbfbde594b4ccc002.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md), Stumbling upon stationary characters (../../Features/Stumbling%20upon%20stationary%20characters%201d458e628ba28045a765d8c37bf00e42.md), Temporal continuity (../../Features/Temporal%20continuity%201d458e628ba2808eb64cdd3f14410df6.md), Intuitive continuity (../../Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.md)",Continuous (../Pacing%20types/Continuous%20e187a8c9a0cf44aea652648d5970a0db.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),Quest (../Traversal%20reasons/Quest%20a4f61ad2283b441ea7492e1afb41160f.md),Journey (../Traversal%20types/Journey%2049dd89633f684d91a8d2ed2cd9bdf09e.md),Game (../Inspiration%20types/Game%20e6c8c5e7a11041e4a5ae321253aa3392.md),18,8
Batman Returns,Supervillains (../Monsters%20and%20Villains/Supervillains%20e279a3db427941fea851e6a6e016ec61.md),"Constrained intellectual energy (../../Features/Constrained%20intellectual%20energy%20bd4dd7ba301a4786bbd8d03d6b948467.md), Surreal (../../Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.md), Iconic (../../Features/Iconic%2010158e628ba280648510f4544487aab5.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Maze-like (../../Features/Maze-like%201d458e628ba280dca6edf1ec4b703759.md)",Days (../Pacing%20types/Days%2092a81bedac4640db9d9b6f8ba4046254.md),False,,Full story (Full%20story%20faaea9bcaf0f43b5ae79dfa06b96be34.md),,Stationary (../Traversal%20types/Stationary%2019344185392b46c7bd17f5017474cc1d.md),Movie (../Inspiration%20types/Movie%205ebb4ef98a8f492d9a4a401d725df4ba.md),9,2
Top Ten Hammer Horrors of Michael Ripper,"Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md), Vampires (../Monsters%20and%20Villains/Vampires%2028458e628ba28010b6f3c878bd0c006a.md)","Cozy horror (../../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md), Heart (../../Features/Heart%202d558e628ba28080869ecf8b7cb495ed.md)",,False,,,,,Review (../Inspiration%20types/Review%20300e4e0e1309451a939fe66dd4a71f40.md),10,1
Top Ten Horror Films of Peter Cushing,"Demons (../Monsters%20and%20Villains/Demons%203bf815864dfc4a56ad90365b197f7dd9.md), Zombies (../Monsters%20and%20Villains/Zombies%20901eef0e94024304bb9512fee842e3b3.md), Beasts (../Monsters%20and%20Villains/Beasts%203fefb3b547bb4b4985c3ef149b16290a.md)","Constrained intellectual energy (../../Features/Constrained%20intellectual%20energy%20bd4dd7ba301a4786bbd8d03d6b948467.md), Guest consultant (../../Features/Guest%20consultant%206727adbe03684285aa4dc60e14a5d229.md), Adventure (../../Features/Adventure%201d458e628ba28026830dfe3db74cba19.md)",,False,,,,,Review (../Inspiration%20types/Review%20300e4e0e1309451a939fe66dd4a71f40.md),5,1
